time_period,time_identifier,geographic_level,country_code,country_name,version,characteristic_type,characteristic_value,exam_cohort,level_of_study,student_count_year_1,student_count_year_2,retained,retained_and_assessed,returned_and_retained,perc_retained,perc_retained_and_assessed,perc_returned_and_retained
201920,Academic year,National,E92000001,England,Final,Sex,Female,A level,Level 3,128190,125721,118420,116569,111957,92.379,90.935,89.052
202021,Academic year,National,E92000001,England,Final,Sex,Female,A level,Level 3,123674,122680,116646,115728,113809,94.317,93.575,92.769
202122,Academic year,National,E92000001,England,Revised,Sex,Female,A level,Level 3,126737,126141,120576,119666,118474,95.139,94.421,93.922
202223,Academic year,National,E92000001,England,Revised,Sex,Female,A level,Level 3,130587,129854,122143,121007,119856,93.534,92.664,92.301
202324,Academic year,National,E92000001,England,Revised,Sex,Female,A level,Level 3,133685,132968,123008,122033,120571,92.013,91.284,90.677
201920,Academic year,National,E92000001,England,Final,Sex,Male,A level,Level 3,100099,98123,91757,90084,86327,91.666,89.995,87.978
202021,Academic year,National,E92000001,England,Final,Sex,Male,A level,Level 3,97506,96745,91494,90658,89098,93.834,92.977,92.096
202122,Academic year,National,E92000001,England,Revised,Sex,Male,A level,Level 3,100757,100152,95697,94869,93783,94.978,94.156,93.641
202223,Academic year,National,E92000001,England,Revised,Sex,Male,A level,Level 3,106206,105596,99398,98335,97428,93.59,92.589,92.265
202324,Academic year,National,E92000001,England,Revised,Sex,Male,A level,Level 3,108873,108302,100814,99933,98868,92.598,91.789,91.289
201920,Academic year,National,E92000001,England,Final,First Language,English language,A level,Level 3,176801,173535,162312,159747,153858,91.805,90.354,88.661
202021,Academic year,National,E92000001,England,Final,First Language,English language,A level,Level 3,170166,169155,159883,158618,156509,93.957,93.214,92.524
202122,Academic year,National,E92000001,England,Revised,First Language,English language,A level,Level 3,174762,173913,165765,164502,163005,94.852,94.129,93.728
202223,Academic year,National,E92000001,England,Revised,First Language,English language,A level,Level 3,181700,180820,169490,167835,166574,93.28,92.369,92.121
202324,Academic year,National,E92000001,England,Revised,First Language,English language,A level,Level 3,184335,183637,169164,167712,166210,91.77,90.982,90.51
201920,Academic year,National,E92000001,England,Final,First Language,Other than English language,A level,Level 3,40758,39947,38093,37409,35808,93.461,91.783,89.639
202021,Academic year,National,E92000001,England,Final,First Language,Other than English language,A level,Level 3,40075,39554,38135,37855,37011,95.159,94.46,93.571
202122,Academic year,National,E92000001,England,Revised,First Language,Other than English language,A level,Level 3,41711,41513,40224,39958,39586,96.435,95.797,95.358
202223,Academic year,National,E92000001,England,Revised,First Language,Other than English language,A level,Level 3,44269,44000,42160,41801,41379,95.236,94.425,94.043
202324,Academic year,National,E92000001,England,Revised,First Language,Other than English language,A level,Level 3,45780,45424,43233,42922,42354,94.436,93.757,93.241
201920,Academic year,National,E92000001,England,Final,First Language,Unknown first language,A level,Level 3,10730,10362,9772,9497,8618,91.072,88.509,83.169
202021,Academic year,National,E92000001,England,Final,First Language,Unknown first language,A level,Level 3,10939,10716,10122,9913,9387,92.531,90.621,87.598
